config,use_optimizer,trial_seed,duration_days,total_steps,total_ens_kwh,critical_ens_kwh,total_fuel_cost_usd,total_gen_kwh,total_batt_cycling_kwh,total_transfer_kwh,shed_steps,hospital_ens,university_ens,industrial_ens,residential_ens,SAIDI,SAIFI,CAIDI,LOLP,ASAI,avg_solve_ms,max_solve_ms,trial_idx
Rule-Based,False,42,1.0,96,4538.31,1101.68,1418.76,4729.19,965.66,0.0,40,1101.68,687.84,1995.31,753.48,5.0,10.0,0.5,0.416667,0.791667,0,0,0
LP-Optimized,True,42,1.0,96,4538.31,1101.68,1418.76,4729.19,965.66,0.0,40,1101.68,687.84,1995.31,753.48,5.0,10.0,0.5,0.416667,0.791667,0,0,0
Rule-Based,False,43,1.0,96,4330.31,1069.06,1425.08,4750.28,913.37,0.0,43,1069.06,658.48,1877.27,725.5,5.375,10.75,0.5,0.447917,0.776042,0,0,1
LP-Optimized,True,43,1.0,96,4330.31,1069.06,1425.08,4750.28,913.37,0.0,43,1069.06,658.48,1877.27,725.5,5.375,10.75,0.5,0.447917,0.776042,0,0,1
Rule-Based,False,44,1.0,96,4513.25,1138.4,1422.4,4741.33,926.9,0.0,40,1138.4,686.48,1954.42,733.96,5.0,10.0,0.5,0.416667,0.791667,0,0,2
LP-Optimized,True,44,1.0,96,4513.25,1138.4,1422.4,4741.33,926.9,0.0,40,1138.4,686.48,1954.42,733.96,5.0,10.0,0.5,0.416667,0.791667,0,0,2
Rule-Based,False,45,1.0,96,4426.64,1055.25,1418.12,4727.06,912.89,0.0,40,1055.25,719.18,1928.08,724.14,5.0,10.0,0.5,0.416667,0.791667,0,0,3
LP-Optimized,True,45,1.0,96,4426.64,1055.25,1418.12,4727.06,912.89,0.0,40,1055.25,719.18,1928.08,724.14,5.0,10.0,0.5,0.416667,0.791667,0,0,3
Rule-Based,False,46,1.0,96,4300.64,1077.78,1415.56,4718.53,977.95,0.0,42,1077.78,665.76,1832.62,724.49,5.25,10.5,0.5,0.4375,0.78125,0,0,4
LP-Optimized,True,46,1.0,96,4300.64,1077.78,1415.56,4718.53,977.95,0.0,42,1077.78,665.76,1832.62,724.49,5.25,10.5,0.5,0.4375,0.78125,0,0,4
