config,use_optimizer,trial_seed,duration_days,total_steps,n_outage_events,total_outage_hours,total_ens_kwh,critical_ens_kwh,total_fuel_cost_usd,total_gen_kwh,total_batt_cycling_kwh,total_transfer_kwh,shed_steps,hospital_ens,university_ens,industrial_ens,residential_ens,SAIDI,SAIFI,CAIDI,EENS,LOLP,ASAI,avg_recovery_hours,avg_solve_ms,max_solve_ms,p95_solve_ms,trial_idx
Rule-Based,False,42,3.0,288,1,4.5,45.28,0.0,737.94,2459.81,581.6,0.0,6,0.0,0.0,0.0,45.28,0.375,0.25,1.5,45.28,0.020833,0.99479167,1.5,0,0,0,0
MPC-Optimized,True,42,3.0,288,1,4.5,490.26,213.99,544.08,1813.6,990.5,321.61,18,213.99,25.45,57.22,193.59,1.9375,2.25,0.8611,490.26,0.0625,0.97309028,0.8229,1.859,14.139,2.486,0
Rule-Based,False,43,3.0,288,1,2.2,40.0,0.0,393.57,1311.9,780.42,0.0,2,0.0,0.0,0.0,40.0,0.125,0.25,0.5,40.0,0.006944,0.99826389,0.5,0,0,0,1
MPC-Optimized,True,43,3.0,288,1,2.2,352.6,85.15,181.04,603.46,1893.54,223.63,8,85.15,28.5,45.38,193.58,1.125,2.25,0.5,352.6,0.027778,0.984375,0.5104,1.785,4.108,2.322,1
Rule-Based,False,44,3.0,288,1,4.8,0.0,0.0,878.33,2927.76,1144.4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0,0,0,2
MPC-Optimized,True,44,3.0,288,1,4.8,599.76,230.71,645.06,2150.19,1976.96,362.84,18,230.71,26.8,228.01,114.24,2.875,4.75,0.6053,599.76,0.0625,0.96006944,0.6156,2.119,6.985,4.451,2
Rule-Based,False,45,3.0,288,1,1.5,0.0,0.0,256.03,853.44,675.49,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0,0,0,3
MPC-Optimized,True,45,3.0,288,1,1.5,251.2,45.36,58.89,196.29,1715.28,161.69,6,45.36,24.92,60.48,120.44,0.8125,2.0,0.4062,251.2,0.020833,0.98871528,0.4688,1.828,5.748,2.295,3
Rule-Based,False,46,3.0,288,1,3.5,0.0,0.0,545.72,1819.08,626.12,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0,0,0,4
MPC-Optimized,True,46,3.0,288,1,3.5,108.7,88.82,412.37,1374.57,1829.91,164.94,13,88.82,2.78,0.0,17.1,1.0625,1.25,0.85,108.7,0.045139,0.98524306,0.75,2.002,6.582,2.92,4
